Id used for finding text block,Contents of text block. Supports markdown formatting.
loc,text
intro,"Soy ecotoxicóloga especializada en Evaluación de Riesgo. Tengo experiencia analizando [bases de datos toxicológicas](https://joss.theoj.org/papers/10.21105/joss.00785) de organismos acuáticos así como en el uso de [modelos que permiten simular el destino ambiental de los plaguicidas](https://www.sciencedirect.com/science/article/pii/S0048969719342159). 

Me encanta programar. Creo que tanto el desarrollo de software y las bases de datos que se producen en investigación deberían tener el mismo nivel de reconocimiento y calidad que un artículo científico. 
"
cursos,"Además de contar con un título de grado en educación orientado a Ciencias Biologícas, complemente esa formación con varios cursos sobre enseñanza de la programación. He dictado diversos talleres y charlas de R en diferentes congresos y eventos. "
teaching_experience_aside,"Soy organizadora de diferentes comunidades y eventos científicos. Me gusta aprender de otros, construir redes, comunicar y trabajar en equipo."
data_science_writing_aside,"Actualmente me encuentro enfocada en publicar el software y los datos de mis artículos haciendo énfasis en la reproducibilidad computacional, tal como señalé en mi ultima charla."
otros,"He usado R para análisis de datos, desarrollo de aplicaciones web con {Shiny} y paquetes de R para mi investigación. También tuve la experiencia de poder armar tutoriales interactivos con {learnR} y otro framework."
charlas,En mi página web suelo subir información y material de mis charlas y talleres.